seed,alpha,task,round,client,projection_count,batch_count,projection_rate,average_dot_product,buffer_size
2026,0.5,1,1,0,0,5,0.0,0.0,0
2026,0.5,1,1,1,0,45,0.0,0.0,0
2026,0.5,1,1,2,0,37,0.0,0.0,0
2026,0.5,1,1,3,0,13,0.0,0.0,0
2026,0.5,1,1,4,0,60,0.0,0.0,0
2026,0.5,1,2,0,0,5,0.0,0.0,0
2026,0.5,1,2,1,0,45,0.0,0.0,0
2026,0.5,1,2,2,0,37,0.0,0.0,0
2026,0.5,1,2,3,0,13,0.0,0.0,0
2026,0.5,1,2,4,0,60,0.0,0.0,0
2026,0.5,1,3,0,0,5,0.0,0.0,0
2026,0.5,1,3,1,0,45,0.0,0.0,0
2026,0.5,1,3,2,0,37,0.0,0.0,0
2026,0.5,1,3,3,0,13,0.0,0.0,0
2026,0.5,1,3,4,0,60,0.0,0.0,0
2026,0.5,2,1,0,44,44,100.0,-8.741822895678608,262
2026,0.5,2,1,1,38,38,100.0,-12.849606764943976,500
2026,0.5,2,1,2,23,23,100.0,-15.057079729826555,500
2026,0.5,2,1,3,5,5,100.0,-15.951466178894043,500
2026,0.5,2,1,4,49,49,100.0,-11.447003189398318,500
2026,0.5,2,2,0,44,44,100.0,-12.294049962000413,262
2026,0.5,2,2,1,38,38,100.0,-15.922275467922812,500
2026,0.5,2,2,2,23,23,100.0,-18.673139572143555,500
2026,0.5,2,2,3,5,5,100.0,-16.825809478759766,500
2026,0.5,2,2,4,49,49,100.0,-14.513959086671168,500
2026,0.5,2,3,0,44,44,100.0,-33.36719196492975,262
2026,0.5,2,3,1,38,38,100.0,-32.761319060074655,500
2026,0.5,2,3,2,23,23,100.0,-40.65263350113578,500
2026,0.5,2,3,3,5,5,100.0,-31.53389892578125,500
2026,0.5,2,3,4,49,49,100.0,-30.80579173808195,500
2026,0.5,3,1,0,5,5,100.0,-5.203286266326904,500
2026,0.5,3,1,1,37,38,97.36842105263158,-2.7802140148062455,500
2026,0.5,3,1,2,35,35,100.0,-2.9104900751795086,500
2026,0.5,3,1,3,50,50,100.0,-2.0516593077778817,500
2026,0.5,3,1,4,32,32,100.0,-3.8157075196504593,500
2026,0.5,3,2,0,5,5,100.0,-33.49949264526367,500
2026,0.5,3,2,1,38,38,100.0,-31.633179664611816,500
2026,0.5,3,2,2,35,35,100.0,-31.83257942199707,500
2026,0.5,3,2,3,50,50,100.0,-20.634431285858156,500
2026,0.5,3,2,4,32,32,100.0,-31.13008803129196,500
2026,0.5,3,3,0,5,5,100.0,-46.31049346923828,500
2026,0.5,3,3,1,38,38,100.0,-33.793652183131165,500
2026,0.5,3,3,2,35,35,100.0,-33.97954297746931,500
2026,0.5,3,3,3,50,50,100.0,-29.15299247741699,500
2026,0.5,3,3,4,32,32,100.0,-43.04731345176697,500
2026,0.5,4,1,0,2,24,8.333333333333334,1.5536812208592892,500
2026,0.5,4,1,1,0,6,0.0,5.362589279810588,500
2026,0.5,4,1,2,31,70,44.285714285714285,0.7963860756584576,500
2026,0.5,4,1,3,11,49,22.448979591836736,0.6287681344820528,500
2026,0.5,4,1,4,0,10,0.0,2.299012213945389,500
2026,0.5,4,2,0,24,24,100.0,-40.60296376546224,500
2026,0.5,4,2,1,6,6,100.0,-28.390367190043133,500
2026,0.5,4,2,2,70,70,100.0,-21.47234969820295,500
2026,0.5,4,2,3,49,49,100.0,-33.560175525898835,500
2026,0.5,4,2,4,10,10,100.0,-45.58978118896484,500
2026,0.5,4,3,0,24,24,100.0,-42.47188218434652,500
2026,0.5,4,3,1,6,6,100.0,-45.682891845703125,500
2026,0.5,4,3,2,70,70,100.0,-30.673883410862516,500
2026,0.5,4,3,3,49,49,100.0,-29.65675295615683,500
2026,0.5,4,3,4,10,10,100.0,-41.1430477142334,500
2026,0.5,5,1,0,0,43,0.0,5.078635432692462,500
2026,0.5,5,1,1,0,17,0.0,8.979625281165628,500
2026,0.5,5,1,2,0,24,0.0,7.8484339614709215,500
2026,0.5,5,1,3,0,8,0.0,13.201357007026672,500
2026,0.5,5,1,4,4,67,5.970149253731344,3.459456670306512,500
2026,0.5,5,2,0,43,43,100.0,-41.42640317872513,500
2026,0.5,5,2,1,17,17,100.0,-33.39451240090763,500
2026,0.5,5,2,2,24,24,100.0,-40.041104316711426,500
2026,0.5,5,2,3,8,8,100.0,-36.049325942993164,500
2026,0.5,5,2,4,67,67,100.0,-48.82941772688681,500
2026,0.5,5,3,0,43,43,100.0,-38.70479858753293,500
2026,0.5,5,3,1,17,17,100.0,-34.98748689539292,500
2026,0.5,5,3,2,24,24,100.0,-41.01334365208944,500
2026,0.5,5,3,3,8,8,100.0,-38.22801446914673,500
2026,0.5,5,3,4,67,67,100.0,-49.700997708448725,500
