seed,alpha,task,round,client,old_gradient_norm,new_gradient_norm,magnitude_ratio,balance_score,retention_weight
42,1.0,1,1,0,0.0,0.0,0.0,0.0,0.0
42,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0
42,1.0,1,1,2,0.0,0.0,0.0,0.0,0.0
42,1.0,1,1,3,0.0,0.0,0.0,0.0,0.0
42,1.0,1,1,4,0.0,0.0,0.0,0.0,0.0
42,1.0,1,2,0,0.0,0.0,0.0,0.0,0.0
42,1.0,1,2,1,0.0,0.0,0.0,0.0,0.0
42,1.0,1,2,2,0.0,0.0,0.0,0.0,0.0
42,1.0,1,2,3,0.0,0.0,0.0,0.0,0.0
42,1.0,1,2,4,0.0,0.0,0.0,0.0,0.0
42,1.0,1,3,0,0.0,0.0,0.0,0.0,0.0
42,1.0,1,3,1,0.0,0.0,0.0,0.0,0.0
42,1.0,1,3,2,0.0,0.0,0.0,0.0,0.0
42,1.0,1,3,3,0.0,0.0,0.0,0.0,0.0
42,1.0,1,3,4,0.0,0.0,0.0,0.0,0.0
42,1.0,2,1,0,1.7805395603588308,48.341151589320646,0.036832791562047607,0.9644756687270879,1.464475668727088
42,1.0,2,1,1,1.1573178795757264,47.65954501971083,0.024283024084620686,0.9762926617803288,1.4762926617803287
42,1.0,2,1,2,1.0364285548037884,47.2856100968991,0.02191847694636668,0.9785516384713159,1.4785516384713158
42,1.0,2,1,3,0.9519538375785201,50.285552685953725,0.0189309610162525,0.9814207618174726,1.4814207618174726
42,1.0,2,1,4,1.3537663249363405,47.64230644609322,0.02841521382824076,0.9723699013334438,1.472369901333444
42,1.0,2,2,0,1.9557902289589824,17.571217667114418,0.11130647095785794,0.8998417863418203,1.3998417863418204
42,1.0,2,2,1,1.63988134675058,17.74135119190128,0.09243271997789404,0.9153881806288072,1.4153881806288071
42,1.0,2,2,2,1.4407122427811545,17.207591110716667,0.08372538802853201,0.9227429854892486,1.4227429854892486
42,1.0,2,2,3,1.4903259215243119,20.301478349183466,0.0734097239565896,0.9316107146057421,1.4316107146057422
42,1.0,2,2,4,1.9356379583774597,18.35764326978153,0.10544043861902487,0.9046168070793565,1.4046168070793565
42,1.0,2,3,0,2.4158493913229204,16.947486539682153,0.1425491258344488,0.8752358891085769,1.375235889108577
42,1.0,2,3,1,1.611992158974468,17.115964790359467,0.09418061901379496,0.913925893607273,1.413925893607273
42,1.0,2,3,2,1.4310772968908994,16.55328225841039,0.08645278166290624,0.9204265632873218,1.4204265632873216
42,1.0,2,3,3,1.457986436213367,20.29481116220517,0.07184035488482343,0.9329747619993349,1.432974761999335
42,1.0,2,3,4,1.8223410367310766,17.844832394409828,0.1021214991798887,0.9073409789610898,1.4073409789610898
42,1.0,3,1,0,8.636853471297895,37.93873167552394,0.22765266760010608,0.8145626416915116,1.3145626416915115
42,1.0,3,1,1,8.40033080539367,37.44675817868534,0.2243273173423836,0.8167750452310808,1.316775045231081
42,1.0,3,1,2,8.183560681219364,37.74144600511166,0.21683219768820658,0.8218059991343254,1.3218059991343254
42,1.0,3,1,3,9.918861434249864,36.5615953129732,0.2712918117861796,0.7866014637465187,1.2866014637465186
42,1.0,3,1,4,8.62316142758913,38.97125411572557,0.2212697954749502,0.818819890334777,1.318819890334777
42,1.0,3,2,0,5.514846071434505,14.635093475542758,0.37682342655687096,0.7263095475508499,1.2263095475508499
42,1.0,3,2,1,5.238062485273596,14.218457452677926,0.3683987874709069,0.730781121085428,1.230781121085428
42,1.0,3,2,2,4.989559683382002,16.099953315593876,0.30991143797597054,0.763410388678721,1.2634103886787211
42,1.0,3,2,3,7.01719758137718,13.660358289741325,0.5136905952639947,0.6606369908941149,1.160636990894115
42,1.0,3,2,4,5.725039409999986,15.868927561341984,0.36077040416683814,0.7348778287195401,1.23487782871954
42,1.0,3,3,0,5.942750120447889,14.524764069645268,0.4091460688760514,0.7096496396555546,1.2096496396555545
42,1.0,3,3,1,5.596074624736537,14.083509519711018,0.3973494402729644,0.7156406058348473,1.2156406058348472
42,1.0,3,3,2,5.362353076744272,15.32222727909967,0.34997216651775265,0.740756013199465,1.240756013199465
42,1.0,3,3,3,7.060918297897697,12.57044385135487,0.5617079541018827,0.640324586535776,1.140324586535776
42,1.0,3,3,4,5.945620246167595,16.23467281396988,0.3662297549385192,0.7319413124953782,1.2319413124953782
42,1.0,4,1,0,6.442156785481294,40.30374092414644,0.159840169616155,0.8621877618973325,1.3621877618973324
42,1.0,4,1,1,6.428406644086784,39.80097678448441,0.16151379095280405,0.8609454384348398,1.3609454384348398
42,1.0,4,1,2,6.467389317815305,36.7434306201074,0.17601484697174488,0.8503294006661456,1.3503294006661455
42,1.0,4,1,3,6.531341214860619,36.98426259760664,0.17659784881808366,0.8499080641737474,1.3499080641737473
42,1.0,4,1,4,7.223085341117234,36.92368975000248,0.19562198117311808,0.8363847568432916,1.3363847568432916
42,1.0,4,2,0,2.3538574740148137,8.519102586004227,0.2763034545307176,0.7835127268910914,1.2835127268910913
42,1.0,4,2,1,2.5324714456173023,8.075739895800627,0.31359002126032687,0.7612725308619686,1.2612725308619686
42,1.0,4,2,2,2.5433380489454205,7.34941452076243,0.3460599537228481,0.7429089597637362,1.2429089597637362
42,1.0,4,2,3,2.718766375470447,9.100693780755583,0.2987427597244596,0.769975418544046,1.2699754185440462
42,1.0,4,2,4,3.0033672826487376,7.518851437245107,0.399444956149947,0.714569012239678,1.214569012239678
42,1.0,4,3,0,3.533112411958244,13.203049695629732,0.2675982059756582,0.7888935115920537,1.2888935115920537
42,1.0,4,3,1,3.6520619403521635,12.044302894927645,0.30321903826330165,0.7673307177376253,1.2673307177376252
42,1.0,4,3,2,4.300034424061302,9.909000409392602,0.4339523914021565,0.6973732224276098,1.19737322242761
